N° de la FEB,fr1,fr2,ar1,ar2,bg1,bg2,chi1,chi2,cs1,cs2,da1,da2,de1,de2,el1,el2,en1,en2,es1,es2,es_XL1,es_XL2,et1,et2,fa_IR1,fa_IR2,fi1,fi2,he1,he2,hi1,hi2,hr1,hr2,hu1,hu2,id1,id2,it1,it2,ja1,ja2,ko1,ko2,lt1,lt2,lv1,lv2,nl_NL1,nl_NL2,no1,no2,pl1,pl2,pt_BR1,pt_BR2,pt_PT1,pt_PT2,ro1,ro2,ru1,ru2,sk1,sk2,sl1,sl2,sq1,sq2,sr1,sr2,sv1,sv2,tr1,tr2,uk1,uk2,vi1,vi2
50204_8,Appel SOS :,annulé,SOS مكالمة:,تم إلغاء,SOS обаждане,прекратено,SOS 呼叫:,已取消,Volání SOS :,Zrušeno,SOS-opkald,afbrudt,SOS-Anruf:,annulliert,Κλήση SOS :,ακυρώθηκε,SOS Call:,Cancelled,Llamada SOS,anulada,Llamada SOS:,cancelada,SOS-kõne,katkestatud,تماس SOS,لغو شد,SOS puhelu,peruttu,SOS שיחת,בוטלה,SOS कॉल:,रद्द किया गया,SOS poziv,prekinut,SOS hívás:,törölve,Panggilan SOS:,Dibatalkan,Chiamata SOS:,annullata,SOS コール,キャンセル済み,SOS 콜:,취소되었습니다,SOS signalas,atšauktas,SOS zvans,atcelts,SOS oproep,geannuleerd,SOS alarm,annulert,Wezwanie SOS:,anulowane,Chamada SOS:,cancelada,Chamada SOS :,anulada,Apelare SOS,anulată,Сигнал SOS:,отменен,Volanie SOS :,Zrušené,SOS klic,preklican,Thirrje SOS:,U anulua,SOS poziv,otkazan,SOS samtal,Avslutat,SOS çağrı:,iptal,Виклик SOS,скасовано,Cuộc gọi SOS:,Hủy
50204_9,Appel SOS :,Envoi de données,SOS مكالمة:,أرسل المعلومات,SOS обаждане,изпрати инфо,SOS 呼叫:,发送信息,Volání SOS :,Odesílání dat,SOS-opkald,Send information,SOS-Anruf:,Sendung Daten,Κλήση SOS :,Αποστολή πληροφ.,SOS Call:,Send Information,Llamada SOS,envío de datos,Llamada SOS,Envío de info.,SOS-kõne,Saada teave,تماس SOS,ارسال اطلاعات,SOS puhelu,Lähetä tiedot,SOS שיחת,שלח מידע,SOS कॉल:,सूचना भेजें,SOS poziv,pošaljite info,SOS hívás:,adatküldés,Panggilan SOS:,Kirim Informasi,Chiamata SOS:,invio dei dati,SOS コール,情報送信します,SOS 콜:,정보 발송,SOS signalas,Siųsti inf.,SOS zvans,Sūta informāciju,SOS oproep,zenden gegevens,SOS alarm,send informasjon,Wezwanie SOS:,wysyłanie danych,Chamada SOS:,enviando dados,Chamada SOS:,envio de dados,Apelare SOS:,Trimite info,Сигнал SOS:,передача данных,Volanie SOS :,Odosielanie dát,SOS klic,pošljite podatke,Thirrje SOS:,D,SOS poziv,slanje podataka,SOS larm,Sänder info.,SOS çağrı:,bilgi gönderimi,Виклик SOS,Відправ. інф-цію,Cuộc gọi SOS:,Gửi Thông tin
50215_1,Post-collision,à contrôler,تحقق,بعد التصادم,Проверка,след удар,碰撞后,检查,Zkontrolujte,po nehodě,Kontroller,Efter kollision,Überprüfen,Post-Kollision,Ελέγξτε,Post-collision,Check,Post-collision,Compruebe,Tras colisión,Comprobación,Post colisión,Kontrollige,kokkupõrkejärgset,کنترل,بعد از برخورد,Tarkista,Törmäyksen jälk.,בדוק מערכת,לאחר-התנגשות,चेक,पोस्ट-कोल्ज़न,Provjerite,nakon udara,Ellenőrizendő:,ütk. utáni fék,Periksa,Pasca tabrakan,Controllo,Post-collisione,ポストコリージョ,ン要点検,다중 충돌 방지 브레이크,점검하십시오,Patikrinkite,Po susidūrimo,Pārbaudiet,pēc sadursmes,Controleer,Post-collision,Sjekk,Etter kollisjon,Weryfikacja,Po zderzeniu,Verificar,pós-colisão,Verificar,pós-colisão,Verifică,Post-coliziune,Проверка,после столкнов.,Skontrolujte,po nehode,Preverite,Po trku,Kontrollimi,Pas ndeshjës,Proverite,MCB sistem,Kontrollera,Efter kollision,Çarpma sonrası,kontrol et,Перевірка,після зіткнення,Kiểm tra,sau va chạm
50401_1,Caméra Radar,Sans visibilité,رادار الكاميرا,بدون رؤية,камера радар,няма видимост,摄像头雷达,低能见度,Kamera Radar,bez viditelnosti,Kamera radar,ingen udsyn,Radarkamera,Keine Sicht,Κάμερα Ραντάρ,Χωρίς ορατότητα,Camera Radar,no Visibility,Cámara radar,Sin visibilidad,Cámara – Radar,Sin visibilidad,Piirat.vaateväl.,Varj. vaateväli,رادار دوربین,بدون دید,Kamera / Tutka,Ei havainnoi,רדאר מצלמה,אין ראות,कैमरा राडार,दृश्यता नहीं,Kamera radar,nema vidljivosti,Radar/Kamera,eltakarva,Radar Kamera,tdk ada Visibilitas,Telecamera parch,senza visibilità,バックカメラ,視界ゼロ,전방 레이다,감지 불가,Sumaž.matom.,Nėra matomumo,Radkam.iero.,Bez redzamības,Camera radar,Geen zicht,Radar kamera,Ingen synlighet,Kamera Radaru,Brak widoczności,Câmera / Radar,Sem Visibilidade,Câmara Radar,Sem visibilidade,Cameră radar,fără detecție,Камера или радар,заблокированы,Kamera Radar,Bez viditeľnosti,Kamera Radar,Manjša Vidnost,Radar kamera,shikuesh. vogël,Kamera radar,nema vidljivosti,Kamera - radar,dålig sikt,Kamera Radar,Görüş yok,Камера-радар,Немає видимості,Radar máy ảnh,không có khả năng hiển thị
50401_2,Freinez,,فرمل,,спирачка,,刹车,,Brzděte,,Brems,,Bremsen,,Φρενάρετε,,Brake,,Frene,,Frene,,Pidurda,,ترمز,,Jarruta,,בלום,,ब्रेक लगाएँ,,Koči !!!,,Fékezzen,,Pijak Rem,Segera,Frenare,,危険,ブレーキ,브레이크페달을,즉시밟으십시오,Stabdykite,,Bremzējiet,,Remmen,,Brems,,Hamuj,,Freie,,Trave!,,Frânați,,Тормозите,,Zabrzdiť,,Zavirajte,,Frenat,,Kočite,,Bromsa,,Fren yapınız,,Гальмуйте,,Phanh,
50402_1,Freinage actif,déconnecté,نظام الكبح النشط,غير متصل,активна спирачка,изключена,主动制动,已断开,Aktivní brzdění,odpojeno,Aktiv bremsning,frakoblet,Aktives Bremsen,aus,Ενεργή Πέδηση,αποσυνδεμένη,Active braking,disconnected,Frenado activo,desconectado,Frenado activo,desconectado,Aktiivpidurdus,välja lülitatud,ترمز خودکار,غیرفعال,Aktiivijarrutus,kytketty pois,בלימה אקטיבית,מנותק,सक्रिय ब्रेकिंग,काटी गयी,Aktivno kočenje,isključeno,Aktívfék,kikapcsolva,Pengereman aktif,dilepas,Frenata attiva,disattivata,アクティブブレーキ,切断済み,긴급제동 보조가,해제되었습니다,Aktyvus stabdym.,atjungta,Avārijas bremzes,atvienotas,Actieve remmen,uitgeschakeld,Aktiv bremsing,frakoblet,Hamowanie aktyw.,wyłączone,Frenagem ativa,desconetada,Travagem ativa,desligada,Frânare activă,deconectată,Автоторможение,отключено,Aktívne brzdenie,odpojené,Aktivn.zaviranje,izključeno,Frenimi aktiv,u shk,Aktivno kočenje,isključeno,Autobroms,frånkopplad,Aktif fren,devre dışı,Активні гальма,відключені,Ngắt kết nối,phanh chủ động
50402_10,Aides conduite,à contrôler,فحص,مساعدة القيادة,пом. при шофир.,за проверка,驾驶辅助,待检查,Zkontrolovat,Jízdní asistenci,Køreassist.,kontrolleres,Fahrassistenz-,systeme prüfen,Ελέγξτε,Υποβ. Οδήγησης,Check,Driving assist,Revisar ayudas,a la conducción,Ayuda conducción,a controlar,Sõiduabi,kontroll,سیستم کمکی رانند,کنترل شود,Tarkista,ajoavustin,בדוק,עזרי נהיגה,ड्राइविंग सहायक,जाँच,Provjeri pomoć,pri vožnji,Vezetéstámogató,ellenőrizendő,Tandai,Bantuan kemudi,Aiuto alla guida,Controllare,ドライブアシスト,要確認,주행 보조,확인하십시오,Patikrinti,vairavimo asist.,Braukš. asist.,jāpārbauda,Rijhulpsystemen,controleren,Kjøre assistanse,kontroller,Asystent jazdy,sprawdź,Verificar,assist. condução,Verificar ajudas,à condução,Asistență condus,De verificat,Сист. пом. вожд.,проверить,Skontolovať,asist. riadenia,Preverite Pomoč,v vožnji,Kontrollo,Asist. parkimi,Proveriti sistem,pomoć u vožnji,Kontrollera,Körhjälp,Sürüş yardımı,kontrol ettirin,Перевірте,Помічник кермув.,Kiểm tra,Hỗ trợ lái xe
50402_11,Aides conduite,à contrôler,فحص,مساعدة القيادة,пом. при шофир.,за проверка,驾驶辅助,待检查,Zkontrolovat,Jízdní asistenci,Køreassist.,kontrolleres,Fahrassistenz-,systeme prüfen,Ελέγξτε,Υποβ. Οδήγησης,Check,Driving assist,Revisar ayudas,a la conducción,Ayuda conducción,a controlar,Sõiduabi,kontroll,سیستم کمکی رانند,کنترل شود,Tarkista,ajoavustin,בדוק,עזרי נהיגה,ड्राइविंग सहायक,जाँच,Provjeri pomoć,pri vožnji,Vezetéstámogató,ellenőrizendő,Tandai,Bantuan kemudi,Aiuto alla guida,Controllare,ドライブアシスト,要確認,주행 보조,확인하십시오,Patikrinti,vairavimo asist.,Braukš. asist.,jāpārbauda,Rijhulpsystemen,controleren,Kjøre assistanse,kontroller,Asystent jazdy,sprawdź,Verificar,assist. condução,Verificar ajudas,à condução,Asistență condus,De verificat,Сист. пом. вожд.,проверить,Skontolovať,asist. riadenia,Preverite Pomoč,v vožnji,Kontrollo,Asist. parkimi,Proveriti sistem,pomoć u vožnji,Kontrollera,Körhjälp,Sürüş yardımı,kontrol ettirin,Перевірте,Помічник кермув.,Kiểm tra,Hỗ trợ lái xe
50402_12,Aides conduite,indisponibles,مساعدة القيادة,غير متوفره,пом. при шофир.,недостъпен,驾驶辅助,不可用,Jízdní asistence,nedostupná,Køreassist.,ikke tilgænglig,Fahrassistenzsy-,steme n. vorhan.,Υποβ. Οδήγησης,μη διαθέσιμη,Driving assist,unavailable,Ayudas conduc.,no disponibles,Ayuda conducción,No disponible,Sõiduabi,pole saadaval,سیستم کمکی رانند,عدم دسترسی,Ajoavustinta,ei voi käyttää,עזרי נהיגה,לא זמינים,ड्राइविंग सहायता,अनुपलब्ध,Pomoć pri vožnji,nedostupna,Vezetéstámogató,nem elérhető,Bantuan kemudi,tidak sedia,Aiuto alla guida,indisponibile,ドライブアシスト,操作不可,주행 보조,기능 불가,Negalimas,vairavimo asist.,Braukš. asist.,nepieejams,Rijhulpsystemen,niet beschikbaar,Kjøre assistanse,utilgjengelig,Asystent jazdy,niedostępny,Assist. condução,indisponíveis,Ajudas condução,indisponíveis,Asistență condus,Indisponibilă,Сист. пом. вожд.,недоступны,Asist. riadenia,nedostupný,Pomoč v vožnji,ni na voljo,Asist. parkimi,i padisponueshëm,Pomoč u vožnji,nedostupno,Körhjälp,Ej tillgängl.,Sürüş yardımı,kullanılamıyor,Помічник кермув.,недоступний,Hỗ trợ lái xe,không khả dụng
50402_2,Caméra/Radar,à contrôler,تحقق من,كاميرا/رادار,радар/камера,провери,检查,摄像头/雷达,Zkontrolovat,kameru/radar,Kamera/Radar,Kontrolleres,Kamera/Radar,prüfen,Ελέγξτε,κάμερα/ραντάρ,Check,Camera/Radar,Revisar,cámara/radar,Controlar,cámara/radar,Kamera/radar,kontrollige,دوربین/رادار,بررسی شود,Tarkista,kamera/tutka,מצלמה / חיישן,לבדוק,कैमरा/रेडार,जाँच करें,Provjeriti,kamera/radar,Kamera/radar,ellenőrizendő,Periksa Kamera/,Radar,Camera/radar,controllare,カメラとレーダーを,点検してください,카메라/레이더,점검해 주십시오,Patikrinti,kamerą/radarą,Pārbaudīt,kamera/radars,Controleer,camera/radar,Kamera/Radar,må kontrolleres,Kamera/radar,skontroluj,Câmera/sensor,a verificar,Verificar,câmara/sensor,Cameră/radar,de controlat,Проверьте,камеру / радар,Skontrolovať,kameru/radar,Kamera/radar,preverite,Kontrollo,Kamerën/Radarin,Proveriti,kameru/radar,Kontrollera,kamera/radar,Kamera/radar,kontrol ettirin,Перевірте,камеру/радар,Camera/cảm biến,cần kiểm tra
50402_6,Radar avant,sans visibilité,الردار الأمامى,الرؤية غير متاحة,преден радар,няма видимост,前雷达,不可见,Čelní radar,bez viditelnosti,Front radar,Uden udsyn,Frontradar,keine Sicht,Εμπρός ραντάρ,χωρίς ορατότητα,Front radar,no visibility,Radar delantero,sin visibilidad,Radar frontal,sin visibilidad,Esiradar,nähtavus puudub,دوربين جلو,بدون ديد,Etututka,ei toiminnassa,חיישנים קדמיים,אין ראות,सामने का रडार,कोई दृश्यता नहीं,Prednji radar,nema vidljivost,Első radar,kitakarva,Radar Depan,Tidak Tampak,Radar anteriore,senza visibilita,フロントレーダー,作動していません,전방 레이더,시야확보 불가,Priek. radaras,nėra matomumo,Priekš. Radars,nav redzamības,Radar voor,geen zicht,Fremre radar,ingen visbilitet,Radar przód,brak widoczności,Sensor dianteiro,sem visibilidade,Sensor diant.,sem visibilidade,Radarul frontal,nu detectează,Передний радар,загрязнен,Čelný radar,bez viditeľnosti,Sprednji radar,brez vidnosti,Radari para,shikuesh. vogël,Prednji radar,nema vidljivosti,Främre radar,Ingen sikt,Ön radar,görüş yok,Передній радар,немає видимості,Cảm biến trước,không tìm thấy
50402_7,Caméra avant,à contrôler,تحقق من الكاميرا,الأمامية,провери,предна камера,检查,前摄像头,Zkontrolovat,čelní kameru,Kontroller,frontkamera,Frontkamera,prüfen,Ελέγξτε εμπρός,κάμερα,Check,Front camera,Revisar cámara,delantera,Controlar,cámara frontal,Esikaamera,kontrollige,دوربین جلو,بررسی شود,Tarkista,etukamera,בדוק,מצלמה קדמית,सामने का कैमरा,जाँच करें,Provjeriti,prednju kameru,Első kamera,ellenőrizendő,Periksa Kamera,Depan,Camera anteriore,controllare,フロントカメラを,点検してください,전방 카메라,점검해 주십시오,Patikrinti,priekinę kamerą,Pārbaudīt,priekš. kamera,Controleer,camera voor,Fremre kamera,må kontrolleres,Kamera przód,skontroluj,Verificar,câmera dianteira,Verificar câmara,dianteira,Controlează,camera frontală,Проверьте,перед. камеру,Skontrolovať,prednú kameru,Sprednja kamera,preverite,Kontrollo,kamerën para,Proveriti,prednju kameru,Kontrollera,Främre kamera,Ön kamera,kontrol ettirin,Перевірте,передню камеру,camera trước,cần kiểm tra
50402_8,Caméra avant,sans visibilité,كاميرا أمامية,رؤية منعدمة,предна камера,няма видимост,前摄像头,不可见,Čelní kamera,bez viditelnosti,Fronkamera,Intet udsyn,Frontkamera,keine Sicht,Εμπρός κάμερα,χωρίς ορατότητα,Front camera,no visibility,Cámara delantera,sin visibilidad,Sin visibilidad,cámara frontal,Esikaamera,nähtavus puudub,دوربین جلو,محدودیت دید,"Etukamera,",ei näkymää,אין ראות,במצלמה קדמית,सामने का कैमरा,कोई दृश्यता नहीं,Prednja kamera,bez vidljivosti,E. kamera látó-,mező korlátozott,Kamera Depan,Tdk Ada Pandangn,Camera anteriore,senza visibilità,フロントカメラ,映像なし,전방 카메라,시야확보 불가,Priekinė kamera,nėra matomumo,Priekš. kamera,nav redzamības,Camera voor,geen zicht,Fremre kamera,ingen sikt,Kamera przód,brak widoczności,Câmera dianteira,sem visibilidade,Câmara dianteira,sem visibilidade,Camera frontală,nu detectează,Передняя камера,загрязнена,Čelná kamera,bez viditeľnosti,Sprednja kamera,brez vidnosti,Kamera para,shikuesh. vogël,Prednja kamera,nema vidljivosti,Främre kamera,Ingen sikt,Ön kamera,görüş yok,Передня камера,немає видимості,camera trước,không tìm thấy
50402_9,Radar avant,à contrôler,تحقق من,الرادار الأمامى,преден радар,провери,检查,前雷达,Zkontrolovat,čelní radar,Frontradar,Kontrolleres,Frontradar,prüfen,Ελέγξτε,εμπρός ραντάρ,Front radar,to check,Revisar radar,delantero,Controlar,radar frontal,Eesmine radar,kontrollige,رادار جلو,بررسی شود,Tarkista,etututka,בדוק,חיישנים קדמיים,सामने का रडार,जाँच करें,Provjeriti,prednji radar,Első radar,ellenőrizendő,Periksa,Radar Depan,Radar anteriore,controllare,フロントレーダーを,点検してください,전방 레이더,점검해 주십시오,Patikrinti,priekinį radarą,Pārbaudīt,priekš. radars,Controleer,radar voor,Fremre radar,må kontrolleres,Radar przód,skontroluj,Verificar,sensor dianteiro,Verificar,sensor dianteiro,Radar frontal,de controlat,Проверьте,передний радар,Skontrolovať,predný radar,Sprednji radar,preverite,Kontrolli,radarin para,Proveriti,prednji radar,Kontrollera,Främre radar,Ön radar,kontrol ettirin,Перевірте,передній радар,cảm biến trước,cần kiểm tra
50405_1,Freinez,,فرمل,,спирачка,,刹车,,Brzděte,,Brems,,Bremsen,,Φρενάρετε,,Brake,,Frene,,Frene,,Pidurda,,ترمز,,Jarruta,,בלום,,ब्रेक लगाएँ,,Koči !!!,,Fékezzen,,Pijak Rem,Segera,Frenare,,危険,ブレーキ,브레이크페달을,즉시밟으십시오,Stabdykite,,Bremzējiet,,Remmen,,Brems,,Hamuj,,Freie,,Trave!,,Frânați,,Тормозите,,Zabrzdiť,,Zavirajte,,Frenat,,Kočite,,Bromsa,,Fren yapınız,,Гальмуйте,,Phanh,
60123_1,Confort,thermique lancé,الراحة الحرارية,أطلقت,Термо комфорт,стартиран,热舒适性,开启,Teplotní komfort,spuštěn,Temp komfort,aktiveret,Thermokomfort,gestartet,Η θερμοκρ. άνεση,ξεκίνησε,Thermal comfort,launched,Confort térmico,lanzado,Confort térmico,iniciado,Soojusmugavus,käivitatud,دما محیط,هماهنگ شد,Lämpötilasäätö,käynnistetty,מצב נוחות תרמלית,הופעל,थर्मल आराम,लॉन्च किया गया,Toplinska udobn.,pokrenuta,Hőkomfort,aktív,nyaman termal,diluncurkan,Confort,termico avviato,サーマル,コンフォート稼働,실내공조 프리컨디셔닝이,작동되었습니다,Term. komfortas,įjungtas,Termālais komf.,palaists,Thermisch,comfort gestart,Prog. forvarming,lansert,Komfort cieplny,włączony,Conforto térmico,ativado,Conforto térmico,iniciado,Acționare,confort termic,Термокомфорт,включен,Teplotný komfort,spustený,Začetek,temp. udobja,Komfori termal,I nisur,Termički komfor,pokrenut,Klimatkomfort,Startad,Termal konfor,başladı,Тепловий комфорт,увімкнено,Ra mắt tiện nghi,nhiệt
60705_1,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,,Shqip,
60705_2,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,
60705_3,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,,Tiếng Việt,
60912_2,Verrous sièges,à contrôler,تحقق من,أقفال المقاعد,проверете колан,заключване,检查,座椅锁止,Zkontrolovat,zámky sedadel,Tjek,sædelåse,Sitzverriegelung,prüfen,Ελέγξτε ασφά-,λειες καθισμάτων,Check Rear,Seats Locks,Revisar bloqueo,de asientos,Verificar,bloqueo asientos,Kontrollige,istme lukustust,بررسی قفل‌های,صندلی‌ها,Tarkista,istuinten lukot,בדוק,נעילת מושבים,सीट लॉक्स,की जांच करें,Provjerite,brave sjedala,Ülésretesz,ellenőrizendő,Periksa Kunci,Kursi Belakang,Blocco sedili,da controllare,シートロックを,点検,시트 잠금장치를,점검해 주십시오,Tikrinti,sėdynių blokadas,Pārbaudiet,sēdekļu bloķ.,Controleer,stoelvergrend.,Kontroller,setelåser,Skontroluj,blokady foteli,Verificar travam,banco,Verificar,fechos bancos,Verifică,blocare scaune,Проверьте,замки сидений,Skontrolovať,zámky sedadiel,Preverite,zaklep sedežev,Kontr. siguresat,ndenj. t,Proveriti,bravice sedišta,Kontrollera,säteslåsen,Koltuk kilidi,kontrol ettirin,Перевірте,замки сидінь,Kiểm tra Khóa,Ghế Sau
60912_3,Verrous sièges,à contrôler,تحقق من,أقفال المقاعد,проверете колан,заключване,检查,座椅锁止,Zkontrolovat,zámky sedadel,Tjek,sædelåse,Sitzverriegelung,prüfen,Ελέγξτε ασφά-,λειες καθισμάτων,Check Rear,Seats Locks,Revisar bloqueo,de asientos,Verificar,bloqueo asientos,Kontrollige,istme lukustust,بررسی قفل‌های,صندلی‌ها,Tarkista,istuinten lukot,בדוק,נעילת מושבים,सीट लॉक्स,की जांच करें,Provjerite,brave sjedala,Ülésretesz,ellenőrizendő,Periksa Kunci,Kursi Belakang,Blocco sedili,da controllare,シートロックを,点検,시트 잠금장치를,점검해 주십시오,Tikrinti,sėdynių blokadas,Pārbaudiet,sēdekļu bloķ.,Controleer,stoelvergrend.,Kontroller,setelåser,Skontroluj,blokady foteli,Verificar travam,banco,Verificar,fechos bancos,Verifică,blocare scaune,Проверьте,замки сидений,Skontrolovať,zámky sedadiel,Preverite,zaklep sedežev,Kontr. siguresat,ndenj. t,Proveriti,bravice sedišta,Kontrollera,säteslåsen,Koltuk kilidi,kontrol ettirin,Перевірте,замки сидінь,Kiểm tra Khóa,Ghế Sau
70102_4,Recondamnation,automatique,إعادة قفل تلقائى,,автомат.повторно,заключване,离开后自动落锁,,Automatické,zamykání,Auto genlås,,Automatische,Verriegelung,Αυτόματο,επανακλείδωμα,Automatic Relock,,Bloqueo puertas,automático,Cierre,Automático,Automaatlukk,,قفل مجدد اتوماتی,,Automaattinen,uudelleenlukitus,נעילה אוטומטית,,पुन: बंद होना,,Autom. ponovno,zaključavanje,Automatikus,visszazárás,Kunci ulang oto,,Chiusura porte,automatica,オートリロック機能,,자동 재잠금,,Automatinis,užrakinimas,Automātiskā,aizslēgšanās,Automatische,hervergrendeling,Auto relåsing,,Zablokowanie,automatyczne,Travamento,automático,Trancamento,automático,Încuiere,automată,автоблокировка,,Automatické,znovuzamykanie,Samodej. ponovno,zaklepanje,rikyçje automat.,,Automat. ponovno,zaključavanje,Automatisk,återlåsning,Otomatik,tekrar kilitleme,Повторне,Авто замикання,Khóa lại tự động,
70106_3,Sécurité enfants,à contrôler,التحقق من جهاز,سلامة الطفل,Провери у-во,защита деца,检查,儿童安全装置,Zkontrolovat,dětskou pojistku,Tjek børne-,sikring,Kindersicherung,prüfen,Ελέγξτε σύστημα,ασφάλ. παιδιών,Check Rear,Child Locks,Revisar,seguridad niños,Verificar disp.,seg. Niños,Kontr. lapse,turvaseadet,بررسی دستگاه,ایمنی کودک,Tarkista lasten,turvalaite,בדוק התקן,בטיחות ילדים,शिशु सुरक्षा साधन,की जांच करें,Sigurnost djece,provjerite,Ellenőriztesse a,gyerekzárat,Periksa Kunci,Anak Belakang,Sicurezza bambi-,ni controllare,ﾁｬｲﾙﾄﾞｾｰﾌﾃｨ,装置をチェック,차일드록을,점검해 주십시오,Tikrinti vaiko,saugos įtaisą,Pārbaudiet bērnu,drošības ierīci,Controleer,kinderbeveilig.,Kontroller,barnesikring,Skontroluj funk.,zabezp. dzieci,Verificar segu-,rança crianças,Verificar segu-,rança crianças,Verifică sistem,siguranţă copii,Проверьте,детский замок,Skontrolovať,detskú poistku,Varovala za,otroke preveriti,Kontr. siguresat,prapa p,Proveriti uređaj,za zašt. dece,Kontrollera,Barnsäkerhet,Çocuk kilidini,kontrol ettirin,Перевірте дитячі,зах. пристрої,Kiểm tra Khóa,Trẻ em Phía sau
70106_4,Sécurité enfants,activée,قفل الأطفال,تم تنشيطه,Защита деца,активирана,儿童锁,开启,Dětská pojistka,aktivní,Børnesikring,aktiveret,Kindersicherung,aktiviert,Παιδική ασφάλεια,ενεργοποιημένη,Rear Child,Locks Activated,Seguridad niños,activada,Cierre niños,activado,Lapselukk,aktiveeritud,قفل کودک,فعال شد,Lapsilukko,aktivoitu,נעילת ילדים,הופעלה,शिशु लॉक,सक्रिय,Sigurnost djece,aktivno,Gyerekzár,aktív,Kunci Anak,Blkg Aktif,Sicurezza bimbo,attivata,チャイルドロック,作動,차일드록이,작동되었습니다,Užr. nuo vaikų,įjungtas,Ieslēgta,bloķēš. bērniem,Kinderslot,actief,Barnesikring,På,Zabezp. dzieci,funkcja włączona,Trava criança,ativada,Segur. crianças,ativado,Sistem blocare,copii activat,Вкл. детская,блокировка,Detská poistka,akívna,Varovala za,otroke vklop,Siguresat prapa,f,Brava za decu,aktivirana,Barnlås,PÅ,Çocuk kilidi,devrede,Блокування від,дітей активне,Kích hoạt Khóa,Trẻ em Phía sau
70106_5,Sécurité enfants,désactivée,قفل الأطفال,تم إيقاف تشغيله,Защита деца,деактивирана,儿童锁,关闭,Dětská pojistka,neaktivní,Børnesikring,deaktiveret,Kindersicherung,deaktiviert,Παιδική ασφάλεια,απενεργοποιημένη,Rear Child Locks,Deactivated,Seguridad niños,desactivada,Cierre niños,desactivado,Lapselukk,deaktiveeritud,قفل کودک,غیرفعال شد,Lapsilukko,ei aktivoitu,נעילת ילדים,הושבתה,शिशु लॉक,निष्क्रिय,Sigurnost djece,neaktivno,Gyerekzár,hatástalanítva,Kunci Anak,Blkg Nonaktif,sicurezza bimbo,disattivata,チャイルドロック,非作動,차일드록이,해제되었습니다,Užr. nuo vaikų,išjungtas,Izslēgta,bloķēš. bērniem,Kinderslot,niet actief,Barnesikring,Av,Zabezp. dzieci,funkc. wyłączona,Trava criança,desativada,Segur. crianças,desativado,Sistem blocare,copii dezactivat,Выкл. детская,блокировка,Detská poistka,neaktívna,Varovala za,otroke izklop,Siguresat prapa,f,Brava za decu,deaktivirana,Barnlås,AV,Çocuk kilidi,devre dışı,Блокування від,дітей неактивне,Tắt Khóa,Trẻ em Phía sau
