N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
80404_1,"Distance totale falsifiée
Valeur à contrôler","إجمالي مسافة خطأ
فحص قيمة","Общото разстояние е неправилно
Проверете стойността","总距离不正确
检查值","Celk. vzdálenost chybná
zkontrolujte hodnotu","Samlet afstand forkert.
Tjek værdi","Gesamtstrecke falsch
Wert prüfen","Λανθ συνολ απόστ
Ελέγξτε την τιμή","Total distance incorrect
check value","Distancia total incorrecta
controlar valor","Distancia total incorrecta
controlar valor","Vahemaa on vale,
kontrollige väärtust","مسافت کل اشتباه
مقدار چک کنید","Kok.matka väärä,
tarkista arvo","מרחק כולל שגוי
יש לבדוק ערך","कुल दूरी गलत
मान जाँचें","Neispr. uk. ud.
provjerite","Telj. táv. helyt
ell. az értéket","Total jarak salah
periksa nilai","Dist tot errata
Contr valore","総距離誤り
チェック値","총 주행거리가 부정확합니다
점검하십시오","Bndr.atst.klaid.
patkr. vertę","Kop. att. nep.
pārb. vērt.","Tot afst incorr
cntrl waarde","Total avstand feil
sjekk verdi","Cały dystans błędny
sprawdź wartość","Distância total incorreta
verificar valor","Distância total incorreta
verificar valor","Distanţa totală incorectă
verifică parametru","Общ расст ошиб
пров значение","Nesprávna ceľk vzdial
skontrolujte hodnotu","Skup. razd. nepr.
prev. vred.","Distanca totale e pasaktë
kontrollo vlerën","Uk.udalj.netačna
prov. vrednost","Total sträcka felaktig
kontrollera värde","Toplam mesafe yanlış
dğr kntrl et","Загальна відстань невірна
перевірте значення","Tổng quãng đường
k đúng Ktra gtrị"
90101_1,"EVACUEZ EN
SECURITE","إخلاء في
أمان","ЕВАКУИРАЙТЕ СЕ
ЗА БЕЗОПАСТНОСТ",安全疏散,"BEZPECNE OPUSTIT
VOZIDLO","EVAKUER
SIKKERT","IN SICHERHEIT
BRINGEN","ΒΓΕΙΤΕ ΕΞΩ
ΜΕ ΑΣΦΑΛΕΙΑ","EVACUATE IN
SAFETY","EVACUACION CON
SEGURIDAD","EVACUAR EN
SEGURIDAD","EVAKUEERIGE
OHUTULT",برو با خیال راحت,"POISTU
AUTOSTA","יש להתפנות מהרכב
בבטחה","सुरक्षित
निकास","EVAKUIRAJTE SE
NA SIGURNO","HAGYJA EL A
GÉPKOCSIT","EVAKUASI DLM
KESELAMATAN","EVACUARE IN
SICUREZZA","安全に
回避","안전한 곳으로
대피하십시오","EVAKUOKITES
SAUGIAI","EVAKUEJIETIES
DROSIBA","VERLAAT VOERTUIG
IN VEILIGHEID","FORLAT BILEN
VÆR VARSOM","OPUSC POJAZD
BEZPIECZNIE","SAIR EM
SEGURANÇA","SAIR DO VEICULO
EM SEGURANCA","EVACUATI IN
SIGURANTA","ПОЖАР! ПОКИНЬТЕ
АВТОМОБИЛЬ","OPATRNE OPUSTITE
VOZIDLO","EVAKUIRAJTE SE
NA VARNO","EVAKUOHUNI
SIGURTË","EVAKUIŠITE SE
NA BEZBEDNO","LÄMNA BILEN
FARA","GUVENLIK ICIN
ARACI TERKEDINIZ","УВАГА
ВИЙДІТЬ З АВТО","ĐÁNH GIÁ
AN TOÀN"
90102_10,"Système élec
à contrôler","تحقق من
النظام الكهربائي","Провери
Ел. система","检查
电气系统","Zkontrolovat
elektrický syst.","Tjek
ELEKTRISK system","ELEC System
prüfen","Ελέγξτε
Ηλεκτρ. Σύστημα","Check
Electric System","Revisar
sistema eléctr.","Verificar
sist. ELECTRICO","Kontrollige
ELEKTRIsüsteemi","بررسی
سیستم الکتریکی","Tarkista
sähköjärjestelmä","בדוק
מערכת חשמל","विद्युत प्रणाली
की जांच करें","El. sustav
provjerite","Ellenőrizze az
elektr rendszert","Periksa
Sistem Listrik","Sist. ELETTRICO
DA CONTROLLARE","電気系統を
点検","전기 시스템을
점검해 주십시오","Tikrinti
ELEKTROS sistemą","Pārbaudiet
ELEKTRISKO sist.","Elektrische syst
controleren","Kontroller
elektrisk system","System ELEC
wykonaj kontrolę","Verificar o
sistema elétrico","Mandar verif.
sist. elétrico","Verifică
sistem electric","Проверьте
электросистему","Skontrolovať
elektrický syst.","Preverite
Elektr.sistem","Kontrollo
sistemin elektr.","Proveriti
ELEKTR. sist.","Kontrollera
Elsystem","Elektr. sistemi
kontrol ettirin","Перевірте
ЕЛЕКТРИЧНУ сист.","Kiểm tra
Hệ thống Điện"
90102_8,"Système élec
à contrôler","تحقق من
النظام الكهربائي","Провери
Ел. система","检查
电气系统","Zkontrolovat
elektrický syst.","Tjek
ELEKTRISK system","ELEC System
prüfen","Ελέγξτε
Ηλεκτρ. Σύστημα","Check
Electric System","Revisar
sistema eléctr.","Verificar
sist. ELECTRICO","Kontrollige
ELEKTRIsüsteemi","بررسی
سیستم الکتریکی","Tarkista
sähköjärjestelmä","בדוק
מערכת חשמל","विद्युत प्रणाली
की जांच करें","El. sustav
provjerite","Ellenőrizze az
elektr rendszert","Periksa
Sistem Listrik","Sist. ELETTRICO
DA CONTROLLARE","電気系統を
点検","전기 시스템을
점검해 주십시오","Tikrinti
ELEKTROS sistemą","Pārbaudiet
ELEKTRISKO sist.","Elektrische syst
controleren","Kontroller
elektrisk system","System ELEC
wykonaj kontrolę","Verificar o
sistema elétrico","Mandar verif.
sist. elétrico","Verifică
sistem electric","Проверьте
электросистему","Skontrolovať
elektrický syst.","Preverite
Elektr.sistem","Kontrollo
sistemin elektr.","Proveriti
ELEKTR. sist.","Kontrollera
Elsystem","Elektr. sistemi
kontrol ettirin","Перевірте
ЕЛЕКТРИЧНУ сист.","Kiểm tra
Hệ thống Điện"
90102_9,"Charge batterie
12V patienter","12V شحن البطارية
يرجى الإنتظار","зарежд. батерия
12V моля почакай","蓄电池充电
12V 请等待","Dobíjení baterie
12V, čekejte","12 V Batteri
lader, vent","Batterieladung
12V bitte warten","Φόρτιση μπαταρία
12V περιμένετε","Battery charge
12V please wait","Cargando batería
12V espere","Carga de bateria
12 V esperar","Akupinge
12 V oodake","شارژ باطری
12ولت ،انتظار","Odota 12V akun
latausta","סוללה נטענת
12V אנא המתן","बैटरी चार्ज
12V कृपया वेट","12V aku se puni
molim čekati","12V Akku töltés
Várjon","Pengisian daya
12V mhn tunggu","Carica batteria
12V attendere","バッテリー充電 12V
お待ち下さい","12V배터리충전
기다리십시오","Akum. įkraunamas
12V, palaukite","Akum. uzlāde
12V, uzgaidiet","12V accu laden
even geduld","Batteri lader
12V vennl. vent","Ład. akum. 12V
proszę czekać","Carreg. bateria
12V aguardar","Carga bateria
12V. Aguarde","Încărcare în
Curs baterie 12V","Идет зарядка
бат. 12В ждать","Nabíjanie bat.
12V čakajte","Polnjenje 12V
bat. počakajte","Ngar. e baterisë
12V pritni","Punj baterije
12V sačekajte","Batteriladdning
12V pågår, vänta","12V Akü şarjı
bekleyiniz","Зарядка батареї
12V зачекайте","Ắc quy
12V vui lòng đợi"
90108_1,"Porte ouverte
Moteur actif","مفتوحا لباب
تشغيل المحرك","Отворена врата
Работещ двигател","门已打开
引擎运转着","Dveře otevřené
Motor běží","Døren åben
kører Motor","Tür offen
Motor läuft","Ανοιχτή πόρτα
Κινητήρας λειτουργεί","Door open
Engine running","Puerta abierta
Motor encendido","Puerta abierta
Motor encendido","Uks lahti
Mootor töötab","در باز
ماشین روشن","Ovi avoinna
moottori käy","דלת פתוחה
מנוע פועל","दरवाज़ा खुला
इंजन चालू है","Otvorena vrata
motor u radu","Nyitott ajtó
A motor jár","Pintu terbuka
Mesin berjalan","Porta aperta
Motore acceso","ドアオープン
エンジン始動中","도어가 열려 있습니다
엔진이 작동 중입니다","Atidaryto durys
veikia variklis","Durvis vaļā
Dzinējs strādā","Deur open
Draaiende motor","Døren åpen
Motor i gang","Otwarte drzwi
Silnik pracuje","Porta aberta
Motor operante","Porta aberta
Motor ligado","Ușă deschisă
Motor pornit","Дверь открыта
Работа двигателя","Dvere otvorené
Motor beží","Odprta vrata
Motor v teku","Dera e hapur
Motori i ndezur","Vrata su otvoren
Motor radi","Dörren öppen
Motorn igång","Kapı açık
Çalışan motor","Двері відкриті
двигун працює","Cửa mở
Động cơ chạy"
90113_16,"Système élec
à contrôler","تحقق من
النظام الكهربائي","Провери
Ел. система","检查
电气系统","Zkontrolovat
elektrický syst.","Tjek
ELEKTRISK system","ELEC System
prüfen","Ελέγξτε
Ηλεκτρ. Σύστημα","Check
Electric System","Revisar
sistema eléctr.","Verificar
sist. ELECTRICO","Kontrollige
ELEKTRIsüsteemi","بررسی
سیستم الکتریکی","Tarkista
sähköjärjestelmä","בדוק
מערכת חשמל","विद्युत प्रणाली
की जांच करें","El. sustav
provjerite","Ellenőrizze az
elektr rendszert","Periksa
Sistem Listrik","Sist. ELETTRICO
DA CONTROLLARE","電気系統を
点検","전기 시스템을
점검해 주십시오","Tikrinti
ELEKTROS sistemą","Pārbaudiet
ELEKTRISKO sist.","Elektrische syst
controleren","Kontroller
elektrisk system","System ELEC
wykonaj kontrolę","Verificar o
sistema elétrico","Mandar verif.
sist. elétrico","Verifică
sistem electric","Проверьте
электросистему","Skontrolovať
elektrický syst.","Preverite
Elektr.sistem","Kontrollo
sistemin elektr.","Proveriti
ELEKTR. sist.","Kontrollera
Elsystem","Elektr. sistemi
kontrol ettirin","Перевірте
ЕЛЕКТРИЧНУ сист.","Kiểm tra
Hệ thống Điện"
90113_17,"Charge batterie
impossible","شحن البطارية
مستحيل","Невъзможен заряд
на акумулатора","蓄电池
不能充电","Nabíjení
není možné","Batteriopladning
ikke mulig","Batterieladung
unmöglich","Φόρτιση μπατα-
ρίας αδύνατη","Battery charging
impossible","Carga de batería
imposible","Carga de batería
imposible","Aku laadimine
võimatu","باتری شارژ
نمی شود","Akun lataus
mahdotonta","טעינת מצבר
אינה אפשרית","बैटरी चार्जिंग
असंभव","Punjenje
nemoguće","Akkutöltés
nem lehetséges","Isi daya baterai
mustahil","Carica batterie
impossibile","バッテリ充電
不可能","배터리 충전
불가","Bat. Įkr.
negalima","Akumul. uzlāde
nav iespējama","Batterij opladen
onmogelijk","Batteri lading
umulig","Ład. akumulatora
niemożliwe","Não é possível
carregar bateria","Carga bateria
impossível","Încărc. baterie
imposibilă","Зарядка батареи
невозможна","Nabíjanie
nie je možné","Polnjenje akum.
ni mogoče","Mbus. e baterisë
e pamundur","Nemoguća dopuna
akumulatora","Batteriladdning
omöjlig","Akü şarj
olmuyor","Зарядж. батареї
неможливе","Không thể
sạc pin"
90113_18,"Panne moteur
électrique","المحرك الكهربائي
فشل","Електромотор
повреден","电动马达
故障","Elektromotor
porucha","Elektrisk motor-
fejl","Störung
Elektromotor","Βλάβη ηλεκτρι-
κού κινητήρα","Electric motor
failure","Avería motor
electrica","Falla del motor
eléctrico","Elektriline
mootori viga","نقص
موتور الکتریکی","Sähkömoottori
häiriö","כשל
במנוע החשמלי","मोटर
ख़राब","Kvar el.
motora","Meghajtómotor
hiba","Gagal fungsi
mesin listrik","Guasto motore
elettrico","電動モータ
故障",전기모터 고장,"El. var.
gedimas","Elektriska
motora kļūme","Elektr. storing
motor","Elektrisk motor
Feil","Usterka silnika
elektrycznego","Pane no motor
elétrico","Avaria motor
elétrico","Avarie
motor electric","Неисправность
электромотора","Elektromotor
porucha","Okvara Elektro
motorja","Defekt motori
elektrik","Otkaz
elektromotora","Elmotor
FEL","Elektrik
motor arızası","Збій електро-
двигуна","Hỏng động
cơ điện"
90113_19,Panne électrique,عطل كهربائي,Eлектр. повреда,电气故障,Elektro porucha,Elektrisk fejl,Elektr. Störung,Ηλεκτρική βλάβη,"Electric System
Failure",Avería eléctrica,Falla eléctrica,Elektriline viga,نقص الکتریکی,Sähköhäiriö,"כשל במערכת
החשמל",बिजली की ख़राबी,Električni kvar,Elektromos hiba,"SINYAL:
Sistem Listrik",Guasto elettrico,電気系統故障,"전기 시스템에
이상이 있습니다",Elektros gedimas,Elektriska kļūme,Elektr. storing,Elektrisk feil,Usterka elektr.,Pane elétrica,Avaria elétrica,Avarie electrică,Неисп. эл. сист.,Elektro porucha,"Električna
okvara","Dështimi
Sistemi elektrik",Električni kvar,Elektriskt fel,Elektrik arızası,Електричний збій,"CẢNH BÁO:
Hệ thống Điện"
90113_21,"Mode B limité
Batterie froide","محدود B وضع
بطارية باردة","B режим огранич.
студена батерия","B模式限制
电池温度过低","Mód B limitován
Studená baterie","B mode begrænset
koldt batteri","Modus B begrenzt
Batterie kalt","Λειτ. Β περιορ.
Μπαταρία κρύα","B mode limited
Cold battery","Modo B limitado
Batería fría","Modo B limitado
Batería fría","Pidur-rež piirat
Külm aku","حالت B محدود است
باتری سرد است","Rajoitet. B-tila
Kylmä akku","מצב B מוגבל
מצבר קר","बी मोडे सीमित
कोल्ड बैटरी","B Mode ograničen
baterija hladna","B üzem limitálva
Akku hideg","mode B terbatas
Baterai dingin","Modo B limitato
Batteria fredda","コールドバッテリー
Bモード制限",B 모드 제한됨,"B rež. ribotas
Šalta baterija","B rež. ierobež.
Auksts akumul.","Modus B beperkt
Batterij koud","Ingen regener.
kaldt batteri","Tryb B ogranicz.
Akumulator zimny","Modo b limitado
bateria fria","Modo B limitado
Bateria fria","Modul B limitat
baterie rece","Режим В огранич.
Холодная батарея","Obmedzený mód B
Batéria studená","Način B omejen
Hladna baterija","Moda. B kufizuar
Bateria e ftohtë","B-mod ograničen
hladna baterija","Elbromsning av
kallt batteri","Mod B sınırlı
Akü soğuk","Режим В обмежено
Холодна батарея","Chế độ B giới hạn
Pin lạnh"
90113_22,"Mode B limité
Batterie pleine","محدود B وضع
بطارية كاملة","B режим огранич.
заредена батерия","B模式限制
电池电量已满","Mód B limitován
Plná baterie","B mode begrænset
fuldt batteri","Modus B begrenzt
Batterie voll","Λειτ. Β περιορ.
Μπαταρία γεμάτη","B mode limited
Full battery","Modo B limitado
Batería llena","Modo B limitado
Batería llena","Pidur-rež piirat
Aku täis","حالت B محدود است
باتری پر است","Rajoitet. B-tila
Akku täynnä","מצב B מוגבל
מצבר מלא","बी मोड सीमित
फुल बैटरी","B Mode ograničen
baterija puna","B üzem limitálva
Akku feltöltve","mode B terbatas
Baterai penuh","Modo B limitato
Batteria piena","フルバッテリー
Bモード制限",B 모드 제한됨,"B rež. ribotas
Bater. pakrauta","B rež. ierobež.
Pilns akumul.","Modus B beperkt
Batterij vol","Ingen regener.
fullt batteri","Tryb B ogranicz.
Akum. naładowany","Modo b limitado
bateria cheia","Modo B limitado
Bater. carregada","Modul B limitat
baterie plină","Режим В огранич.
Полная батарея","Obmedzený mód B
Batéria plná","Način B omejen
Polna baterija","Moda. B kufizuar
Bateria e plotë","B-mod ograničen
Puna baterija","Elbromsning av
fulladdat batt.","Mod B sınırlı
Akü şarjı dolu","Режим В обмежено
Батар. заряджена","Chế độ B giới hạn
Pin đầy"
90113_23,"Charge limitée
Couper ventilation","شحن محدود
أوقف التهوية","ограничено зареждане
спри вентилацията","受限的充电
停止通风","Omezené dobíjení
Zastavit ventilaci","Begrænset ladning
stop ventilation","Ladung begrenzt
Lüftung ausschalten","Περιορισμένη φόρτιση
διακόψτε τον εξαερισμό","Limited charge
stop ventilation","Carga limitada
Parar ventilación","Carga limitada
parar ventilación","Piiratud laeng
peatage vent.","شارژ محدود
قطع تهویه","Hidas lataus. Sammuta auton
esilämmitys /-jäähdytys","טעינה מוגבלת
הפסק אוורור","लिमिटेड चार्ज
स्टॉप वेंटिलेशन","Punjenje limitirano
ugasi ventilator","Töltés lecsökkent
Ventilátort kikapcsolni","Isi daya terbatas
hentikan ventilasi","Carico limitato
arrestare ventilazione","充電制限
送風停止","충전량 부족
공조 기능을 끄십시오","Ribota įkrova
išjungtas ventiliavimas","Akumulatora līmenis zems
apturiet ventilāciju","Laden beperkt
stop ventilatie","Begrenset lading
stopp ventilasjon","Ograniczone ładowanie
wyłącz wentylację","Carga limitada
cortar ventilação","Carga limitada
desligar ventilação","Încărcare limitată
Oprește ventilația","Энергия ограничена
Выключить вентиляцию","Obmedzené nabitie batérie
zastavte ventilátor","Omejeno polnjenje
ustavite prezračevanje","Karikim i kufi.
ndalo ajrimin","Ograničeno punjenje
isključiti ventilaciju","Begränsad laddning
Stäng av ventilationen","Sınırlı şarj
havalandırmayı kapatınız","Обмежений заряд
вимкніть вентиляцію","Thông gió dừng
sạc hạn chế"
90113_24,"Redémarrage
impossible","اعادة البدء
غير ممكن","Невъзможно
рестартиране","不可能
重启","Není možné
nyní nastartovat","Genstart ikke
muligt","Neustart
unmöglich","Αδυναμία
επανεκκίνησης","Impossible
restart","Re-arranque
imposible","Imposible
re encender","Taaskäiv. ei ole
võimalik","غیرممکن
استارت مجدد","Ei voi
käynnistää","לא ניתן
להניע","असमर्थ
रीस्टार्ट","Restart
nemoguć","Újraindítás
lehetetlen","Mustahil
nyala ulang","Riavvio
impossibile",再始動不可,"재시동
불가능","NeĮmanoma
perkrauti","Restartēšana
neiespējama","Herstarten
onmogelijk","Umulig
restart","Restart
niemożliwy","Incapaz de
dar partida","Arranque
impossível","Repornire
imposibilă","Перезапуск
невозможен","Nie je možné
naštartovať","Nemogoč
ponovni zagon","Rinisja
e pamundur","Nemoguć
restart","Omstart
Omöjlig","TekrarÇalıştırma
mümkün değil","Перезапуск
неможливий","Không thể
khởi động lại"
90117_1,"Refroidissement batterie 48V :
grille sous siège obstruée","48V تبريد البطارية:
مسدود تحت شبكة المقعد","48V охлаждане на батерията:
Възпрепятстван под седалки","48V 电池冷却：
在座位网下受阻","48V chlazení baterie:
brání předmět pod sedadlem","48V batterikøling:
blokeret under sædets gitter","48V Batteriekühlung:
unter dem Sitzgitter verbaut","Ψύξη μπαταρίας 48V :
φραγμένο πλέγμα κάτω από κάθισμα","48V battery cooling:
obstructed under seat grid","48V Refrigeración batería:
obstruida bajo rejilla asiento","48V Refrigeración batería:
obstruida bajo rejilla asiento","48V aku jahutus:
istmevõre all takistatud","48V سردسازی باطری:
زیرصندلی","48V akun jäähdytys:
Ritilä tukossa istuimen alla","48V קירור סוללה:
חסומה מתחת לרשת המושב","48V बैटरी कूलिंग:
सीट ग्रिड के नीचे अवरुद्ध है","48V hlađenje baterije:
prekinuto ispod mreže sjedišta","48V akkumulátorhűtés:
az ülés alatti rács eltakarva","48V pendinginan baterai:
terhalang di bawah kisi kursi","48V raffreddamento della batteria:
ostruito sotto griglia sedile","48V バッテリー冷却:
シートグリッド下に異物","시트 그리드 아래
48V 배터리 냉각: 기능 방해되었습니다","48V akumuliator. aušinimas:
užstoja grotelės po sėdyne","48V akumulatora dzesēšana:
aizsprostots režģis zem sēdekļa","48V batterijkoeling:
geblokkeerd onder stoelrooster","48V batterikjøling:
blokkert under setegitteret","48V chłodzenie akumulatora:
zablokowane pod siedzeniem","Resfriamento da bateria 48V :
saída sob o banco obstruída","Arrefecimento da bateria 48V:
grelha sob o banco obstruída","48V răcire baterie:
blocat sub grila scaunului","48V охлаждение аккумулятора:
засор решётки под сиденьем","48V chladenie batérie:
bráni predmet pod sedadlom","48V hlajenje baterije:
ovira pod sedežno mrežo","48V Ftohja e baterisë:
e penguar nën rrjetën e ulëses","48V хлађење батерије:
блокирана решетка испод седишта","48V batterikylning:
Blockeras under sätet","48V pil soğutma: koltuk
ızgarasının altında tıkanmış","48V Охолодження батареї:
сітка під сидінням засмічена","48V làm mát ắc quy:
bị nghẽn bên dưới lưới ghế"
90119_1,"Surchauffe
batterie danger","خطر سخونة
زائدة بالبطارية","Опастност прегр.
на батерията","牵引电池
过热","Pozor, přehřátí
akumulátoru","Fare batteri
ophedes","Gefahr Batterie
überhitzt","Κίνδυνος υπερ-
θέρμ. μπαταρίας","Danger battery
overheating","Sobrecalent.
batería peligro","Peligro batería
sobrecalentada","Oht aku
ülekuumenemine","خطر باتري
دماي بالا","Vaara: ajoakku
ylikuumenee","סכנת חימום יתר
של הסוללה","खतरा, बैटरी
अति गर्म है","Pregrijavanje
baterije opasno.","Akku túlmelege-
dés veszélye","Hati Hati Aki
Kepanasan","Surr. batteria
pericolo","危険
バッテリーヒート","구동배터리
과열되었습니다","Pavojus baterija
perkaito","Bīstama akum.
pārkaršana","Gevaar batterij
oververhitting","Fare batteri
overoppheting","Niebezpiecznie
akum. przegrz.","Perigo: bateria
sobreaquecida","Sobreaquecimento
bateria. Perigo","Pericol baterie
supraîncălzită","Опасность
перегрев батареи","Pozor prehriatie
akumulátora","Baterija nevarno
pregrevanje","Rrezik bateria
tejngrohur","Opasnost
baterija pregrej","Fara drivbatteri
Överhettat","Akü aşırı ısınma
tehlike","Небезпека
перегр. батареї","Quá nhiệt
nguy hiểm ắc quy"
90119_10,Autonomie max,أقصى نطاق,Макс. пр.,最大范围,Max dojezd,Maks. omr,Reichweite max.,Μέγ αυτον,Max range,Alcance máximo,Auton máx,Max ulatus,حداکثر برد,Jäljellä,טווח מרבי,अधि. रेंज,Maks. ras.,Max h.táv,Rntng max,Range max,最大走行距離,최대 용량,Maks. at.,Maks. d.,Max ber,Maks. rv.,Maks. zas,Faixa máx.,Autonomia máx.,Distanța maximă,Макс диап,Max doj,Naj doseg,Gama maks.,Mak.opseg,Max räckv,Maksimum menzil,Максим. діапазон,PV tối đa
90119_11,"Autonomie
falsifiée","خطأ
نطاق","Грешен
пробег","假
范围","Chybný
dojezd","Falsk
interval","Falsche
Reichweite","Λανθασμένο
αυτονομία","False
range","Error de
autonomía","Error de
autonomía","Vale
vahemik","نادرست
محدوده","Virheellinen
toimintamatka","לא נכון
טווח","गलत
रेंज","Netočno
raspon","Hibás
tartomány","Jangkauan
salah","Falso
gamma","偽
範囲","잘못된
주행가능거리","Klaidingas
atstumas","Nepatiess
diapazons","Onwaar
bereik","Usann
rekkevidde","Błędny
zasięg","Falso
faixa","Autonomia
incorreta","Autonomie
incorectă","Неверный
диапазон","Nesprávny
rozsah","Napačen
domet","Distanca
e pasaktë","Netačan
domet","Felaktig
räckvidd","Yanlış
menzil","Хибний
діапазон","Sai
phạm vi"
90119_13,Capacité max,أقصى سعة,Макс. Капацитет,最大容量,Max. kapacita,"Maksimal
kapacitet",Max. Kapazität,"Μέγιστη
χωρητικότητα",Max capacity,Capacidad máxima,Capacidad máxima,"Maksimaalne
mahutavus",ظرفیت حداکثر,Max kapasiteetti,קיבולת מרבית,अधिकतम क्षमता,"Maksimalni
kapacitet",Max. kapacitás,"Kapasitas
Maks.",Capacità massima,最大積載量,최대 용량,Maksimali talpa,"Maksimālā
kapacitāte",Max. capaciteit,Maks kapasitet,Pojemność maks.,"Capacidade
máxima",Capacidade máx.,Capacitate max.,Макс. мощность,Max. kapacita,Najv. zmogljivost,"Kapaciteti
maksimal","Maksimalni
kapacitet",Max kapacitet,Maks. Kapasite,Макс. потужність,Công suất tối đa
90119_2,"EVACUEZ EN
SECURITE","إخلاء في
أمان","ЕВАКУИРАЙТЕ СЕ
ЗА БЕЗОПАСТНОСТ",安全疏散,"BEZPECNE OPUSTIT
VOZIDLO","EVAKUER
SIKKERT","IN SICHERHEIT
BRINGEN","ΒΓΕΙΤΕ ΕΞΩ
ΜΕ ΑΣΦΑΛΕΙΑ","EVACUATE IN
SAFETY","EVACUACION CON
SEGURIDAD","EVACUAR EN
SEGURIDAD","EVAKUEERIGE
OHUTULT",برو با خیال راحت,"POISTU
AUTOSTA","יש להתפנות מהרכב
בבטחה","सुरक्षित
निकास","EVAKUIRAJTE SE
NA SIGURNO","HAGYJA EL A
GÉPKOCSIT","EVAKUASI DLM
KESELAMATAN","EVACUARE IN
SICUREZZA","安全に
回避","안전한 곳으로
대피하십시오","EVAKUOKITES
SAUGIAI","EVAKUEJIETIES
DROSIBA","VERLAAT VOERTUIG
IN VEILIGHEID","FORLAT BILEN
VÆR VARSOM","OPUSC POJAZD
BEZPIECZNIE","SAIR EM
SEGURANÇA","SAIR DO VEICULO
EM SEGURANCA","EVACUATI IN
SIGURANTA","ПОЖАР! ПОКИНЬТЕ
АВТОМОБИЛЬ","OPATRNE OPUSTITE
VOZIDLO","EVAKUIRAJTE SE
NA VARNO","EVAKUOHUNI
SIGURTË","EVAKUIŠITE SE
NA BEZBEDNO","LÄMNA BILEN
FARA","GUVENLIK ICIN
ARACI TERKEDINIZ","УВАГА
ВИЙДІТЬ З АВТО","ĐÁNH GIÁ
AN TOÀN"
90119_9,Santé batterie,صحة البطارية,"Състояние на
батерията",蓄电池状况,Stav akumulátoru,Batteritilstand,Batteriezustand,Υγεία μπαταρίας,Battery health,Salud de batería,"Estado
de la batería",Aku seisukord,سلامت باتری,Akun kunto,תקינות הסוללה,बैटरी हेल्थ,Zdravlje bater.,Akkum. állapota,Kshtn baterai,Stato batteria,バッテリの状態,배터리 상태,Akumul. būklė,Akum. st.,Accucond,Batteritilstand,"Kondycja
akumulatora",Saúde da bateria,Estado bateria,Sănătate baterie,Сост аккумулят,Stav akumulátora,Stanje bat.,Gjendja e bat.,Stanje baterije,Batterihälsa,Akü sağlığı,Стан батареї,Tình trạng pin
90121_1,"PROTECTION
MOTEUR : ON","حماية
المحرك: تشغيل","ЗАЩИТА
ДВИГАТЕЛ: ВКЛ.","保护
引擎：启动","OCHRANA
MOTOR: BĚŽÍ","BESKYTTELSE
MOTOR: ON",MOTORSCHUTZ: EIN,"ΠΡΟΣΤΑΣΙΑ
ΚΙΝΗΤΗΡΑ: ON","PROTECTION
ENGINE: ON","PROTECCIÓN
MOTOR: ACTIVADA","PROTECCIÓN
DE MOTOR: ACTIVADA","KAITSE
MOOTOR: SEES","حفاظت
موتور: بر","MOOTTORIN
SUOJAUS: PÄÄLLÄ","הגנה על
מנוע: מופעל","इंजन
सुरक्षा: ऑन","ZAŠTITA
MOTOR: UKLJUČENO","MOTOR-
VÉDELEM: BE","PERLINDUNGAN
MESIN: NYALA","PROTEZIONE
MOTORE: ACCESO","エンジン
プロテクション: ON","엔진 보호:
ON","APSAUGA
VARIKLIS: veikia","DZINĒJA AIZS.:
IESLĒGTA","BESCHERMING
MOTOR: AAN","BESKYTTELSE
MOTOR: PÅ","OCHRONA
SILNIKA: ON","PROTEÇÃO DE
MOTOR: ATIVADA","PROTEÇÃO
DO MOTOR: ON","PROTECȚIE
MOTOR: PORNIT","ЗАЩИТНЫЙ
ДВИГАТЕЛЬ: ВКЛЮЧЕН","OCHRANA
MOTORA: ZAPNUTÁ","ZAŠČITA
MOTORJA: VKLOPLJENO","MBROJTJA E
MOTORIT: AKTIVE","ZAŠTITA
MOTOR: UKLJ",MOTORSKYDD: PÅ,"KORUMA
MOTOR: ÜZERİNDE","ЗАХИСТ
ДВИГУНА: УВІМК.","SỰ BẢO VỆ
ĐỘNG CƠ: TRÊN"
